"","Service","City","Facility","State"
"342","Community Based Outpatient Clinic","Sterling","Sterling VA Clinic","Illinois"
"343","VA Medical Center","Fort Wayne","VA Northern Indiana Health Care System – Fort Wayne Campus","Indiana"
"344","VA Medical Center","Indianapolis","Richard L. Roudebush VA Medical Center","Indiana"
"345","VA Medical Center","Marion","VA Northern Indiana Health Care System – Marion Campus","Indiana"
"346","Outpatient Clinic","Crown Point","Adam Benjamin Jr. Outpatient Clinic","Indiana"
"347","Outpatient Clinic","Evansville","Evansville Health Care Center","Indiana"
"348","Community Based Outpatient Clinic","Bloomington","Bloomington VA Clinic","Indiana"
"349","Community Based Outpatient Clinic","Bloomington","Monroe County VA Clinic","Indiana"
"350","Community Based Outpatient Clinic","Brownsburg","Brownsburg VA Clinic","Indiana"
"351","Community Based Outpatient Clinic","Edinburgh","Wakeman VA Clinic","Indiana"
"352","Community Based Outpatient Clinic","Fort Wayne","Fort Wayne VA Clinic","Indiana"
"353","Community Based Outpatient Clinic","Goshen","Goshen VA Clinic","Indiana"
"354","Community Based Outpatient Clinic","Greendale","Dearborn VA Clinic","Indiana"
"355","Community Based Outpatient Clinic","Indianapolis","Cold Spring Road VA Clinic","Indiana"
"356","Community Based Outpatient Clinic","Indianapolis","Indianapolis VA Clinic","Indiana"
"357","Community Based Outpatient Clinic","Indianapolis","Indianapolis YMCA VA Clinic","Indiana"
"358","Community Based Outpatient Clinic","Lafayette","Lafayette VA Clinic","Indiana"
"359","Community Based Outpatient Clinic","Martinsville","Martinsville VA Clinic","Indiana"
"360","Community Based Outpatient Clinic","Mishawaka","St. Joseph County VA Clinic","Indiana"
"361","Community Based Outpatient Clinic","Muncie","Muncie VA Clinic","Indiana"
"362","Community Based Outpatient Clinic","New Albany","New Albany VA Clinic","Indiana"
"363","Community Based Outpatient Clinic","Peru","Hoosier VA Clinic","Indiana"
"364","Community Based Outpatient Clinic","Richmond","Richmond VA Clinic","Indiana"
"365","Community Based Outpatient Clinic","Shelbyville","Shelbyville VA Clinic","Indiana"
"366","Community Based Outpatient Clinic","Scottsburg","Scott County VA Clinic","Indiana"
"367","Community Based Outpatient Clinic","South Bend","Columbia Place VA Clinic","Indiana"
"368","Community Based Outpatient Clinic","Terre Haute","Terre Haute VA Clinic","Indiana"
"369","Community Based Outpatient Clinic","Vincennes","Vincennes VA Clinic","Indiana"
"370","Community Based Outpatient Clinic","West Lafayette","West Lafayette VA Clinic","Indiana"
"371","VA Medical Center","Des Moines","Des Moines VA Medical Center","Iowa"
"372","VA Medical Center","Iowa City","Iowa City VA Medical Center","Iowa"
"373","Community Based Outpatient Clinic","Burlington","Burlington VA Clinic","Iowa"
"374","Community Based Outpatient Clinic","Carroll","Carroll VA Clinic","Iowa"
"375","Community Based Outpatient Clinic","Cedar Rapids","Cedar Rapids VA Clinic","Iowa"
"376","Community Based Outpatient Clinic","Cedar Rapids","Linn County VA Clinic","Iowa"
"377","Community Based Outpatient Clinic","Coralville","Coralville VA Clinic","Iowa"
"378","Community Based Outpatient Clinic","Davenport","Davenport VA Clinic","Iowa"
"379","Community Based Outpatient Clinic","Davenport","Quad Cities VA Clinic","Iowa"
"380","Community Based Outpatient Clinic","Decorah","Decorah VA Clinic","Iowa"
"381","Community Based Outpatient Clinic","Des Moines","Des Moines VA Clinic","Iowa"
"382","Community Based Outpatient Clinic","Des Moines","South Des Moines VA Clinic","Iowa"
"383","Community Based Outpatient Clinic","Dubuque","Dubuque VA Clinic","Iowa"
"384","Community Based Outpatient Clinic","Fort Dodge","Fort Dodge VA Clinic","Iowa"
"385","Community Based Outpatient Clinic","Iowa City","Iowa City VA Clinic","Iowa"
"386","Community Based Outpatient Clinic","Knoxville","Knoxville VA Clinic","Iowa"
"387","Community Based Outpatient Clinic","Marshalltown","Marshalltown VA Clinic","Iowa"
"388","Community Based Outpatient Clinic","Mason City","Mason City VA Clinic","Iowa"
"389","Community Based Outpatient Clinic","Ottumwa","Ottumwa VA Clinic","Iowa"
"390","Community Based Outpatient Clinic","Shenandoah","Shenandoah VA Clinic","Iowa"
"391","Community Based Outpatient Clinic","Sioux City","Sioux City VA Clinic","Iowa"
"392","Community Based Outpatient Clinic","Spirit Lake","Spirit Lake VA Clinic","Iowa"
"393","Community Based Outpatient Clinic","Waterloo","Waterloo VA Clinic","Iowa"
"394","VA Medical Center","Leavenworth","VA Eastern Kansas Health Care System – Dwight D. Eisenhower VA Medical Center","Kansas"
"395","VA Medical Center","Topeka","VA Eastern Kansas Health Care System – Colmery-O'Neil VA Medical Center","Kansas"
"396","VA Medical Center","Wichita","Robert J. Dole VA Medical Center","Kansas"
"397","Community Based Outpatient Clinic","Chanute","Chanute VA Clinic","Kansas"
"398","Community Based Outpatient Clinic","Fort Dodge","Dodge City VA Clinic","Kansas"
"399","Community Based Outpatient Clinic","Fort Scott","Fort Scott VA Clinic","Kansas"
"400","Community Based Outpatient Clinic","Garnett","Garnett VA Clinic","Kansas"
"401","Community Based Outpatient Clinic","Hays","Hays VA Clinic","Kansas"
"402","Community Based Outpatient Clinic","Hutchinson","Hutchinson VA Clinic","Kansas"
"403","Community Based Outpatient Clinic","Junction City","Richard J. Seitz CBOC","Kansas"
"404","Community Based Outpatient Clinic","Kansas City","Wyandotte County VA Clinic","Kansas"
"405","Community Based Outpatient Clinic","Lawrence","Lawrence VA Clinic","Kansas"
"406","Community Based Outpatient Clinic","Liberal","Liberal VA Clinic","Kansas"
"407","Community Based Outpatient Clinic","Paola","Paola VA Clinic","Kansas"
"408","Community Based Outpatient Clinic","Parsons","Parsons VA Clinic","Kansas"
"409","Community Based Outpatient Clinic","Salina","Salina VA Clinic","Kansas"
"410","Community Based Outpatient Clinic","Shawnee","Johnson County VA Clinic","Kansas"
"411","Community Based Outpatient Clinic","Wichita","Sedgwick County VA Clinic","Kansas"
"412","VA Medical Center","Fort Thomas","Cincinnati VA Medical Center-Fort Thomas","Kentucky"
"413","VA Medical Center","Lexington","Lexington VA Health Care System – Franklin R. Sousley Campus","Kentucky"
"414","VA Medical Center","Lexington","Lexington VA Health Care System – Troy Bowling Campus","Kentucky"
"415","VA Medical Center","Louisville","Robley Rex VA Medical Center","Kentucky"
"416","Outpatient Clinic","Louisville","VA Healthcare Center, TRICARE Family Practice","Kentucky"
"417","Community Based Outpatient Clinic","Bellevue","Bellevue VA Clinic","Kentucky"
"418","Community Based Outpatient Clinic","Berea","Berea VA Clinic","Kentucky"
"419","Community Based Outpatient Clinic","Bowling Green","Bowling Green VA Clinic","Kentucky"
"420","Community Based Outpatient Clinic","Carrollton","Carrollton VA Clinic","Kentucky"
"421","Community Based Outpatient Clinic","Clarkson","Grayson County VA Clinic","Kentucky"
"422","Community Based Outpatient Clinic","Florence","Florence VA Clinic","Kentucky"
"423","Community Based Outpatient Clinic","Fort Campbell","Fort Campbell VA Clinic","Kentucky"
"424","Community Based Outpatient Clinic","Fort Knox","Fort Knox VA Clinic","Kentucky"
"425","Community Based Outpatient Clinic","Hazard","Hazard VA Clinic","Kentucky"
"426","Community Based Outpatient Clinic","Hopkinsville","Hopkinsville VA Clinic","Kentucky"
"427","Community Based Outpatient Clinic","Louisville","Greenwood VA Clinic","Kentucky"
"428","Community Based Outpatient Clinic","Louisville","Newburg VA Clinic","Kentucky"
"429","Community Based Outpatient Clinic","Louisville","Stonybrook VA Clinic","Kentucky"
"430","Community Based Outpatient Clinic","Madisonville","Madisonville VA Clinic","Kentucky"
"431","Community Based Outpatient Clinic","Mayfield","Mayfield VA Clinic","Kentucky"
"432","Community Based Outpatient Clinic","Morehead","Morehead VA Clinic","Kentucky"
"433","Community Based Outpatient Clinic","Owensboro","Owensboro VA Clinic","Kentucky"
"434","Community Based Outpatient Clinic","Paducah","Paducah VA Clinic","Kentucky"
"435","Community Based Outpatient Clinic","Prestonsburg","Prestonsburg VA Clinic","Kentucky"
"436","Community Based Outpatient Clinic","Somerset","Somerset VA Clinic","Kentucky"
"437","VA Medical Center","Pineville","Alexandria VA Medical Center","Louisiana"
"438","VA Medical Center","New Orleans","New Orleans VA Medical Center","Louisiana"
"439","VA Medical Center","Shreveport","Overton Brooks VA Medical Center","Louisiana"
"440","Outpatient Clinic","Baton Rouge","Baton Rouge VA Clinic","Louisiana"
"441","Community Based Outpatient Clinic","Baton Rouge","Baton Rouge VA Clinic South","Louisiana"
"442","Community Based Outpatient Clinic","Bogalusa","Bogalusa VA Clinic","Louisiana"
"443","Community Based Outpatient Clinic","Franklin","Franklin VA Clinic","Louisiana"
"444","Community Based Outpatient Clinic","Hammond","Hammond VA Clinic","Louisiana"
"445","Community Based Outpatient Clinic","Houma","Houma VA Clinic","Louisiana"
"446","Community Based Outpatient Clinic","Jennings","Jennings VA Clinic","Louisiana"
"447","Community Based Outpatient Clinic","Lafayette","Lafayette Campus B VA Clinic","Louisiana"
"448","Community Based Outpatient Clinic","Lafayette","Lafayette VA Clinic","Louisiana"
"449","Community Based Outpatient Clinic","Lake Charles","Douglas Fournet Department of Veterans Affairs Clinic","Louisiana"
"450","Community Based Outpatient Clinic","Lessville","Fort Johnson VA Clinic","Louisiana"
"451","Community Based Outpatient Clinic","Monroe","Monroe VA Clinic","Louisiana"
"452","Community Based Outpatient Clinic","Natchitoches","Natchitoches VA Clinic","Louisiana"
"453","Community Based Outpatient Clinic","Reserve","St. John VA Clinic","Louisiana"
"454","Community Based Outpatient Clinic","Shreveport","Knight Street VA Clinic","Louisiana"
"455","Community Based Outpatient Clinic","Slidell","Slidell VA Clinic","Louisiana"
"456","VA Medical Center","Augusta","Togus VA Medical Center","Maine"
"457","Community Based Outpatient Clinic","Bangor","Bangor VA Clinic","Maine"
"458","Community Based Outpatient Clinic","Bingham","Bingham Access Point","Maine"
"459","Community Based Outpatient Clinic","Calais","Calais VA Clinic","Maine"
"460","Community Based Outpatient Clinic","Caribou","Caribou VA Clinic","Maine"
"461","Community Based Outpatient Clinic","Fort Kent","Fort Kent VA Clinic","Maine"
"462","Community Based Outpatient Clinic","Houlton","Houlton VA Clinic","Maine"
"463","Community Based Outpatient Clinic","Lewiston","Lewiston VA Clinic","Maine"
"464","Community Based Outpatient Clinic","Lincoln","Lincoln VA Clinic","Maine"
"465","Community Based Outpatient Clinic","Portland","Portland VA Clinic","Maine"
"466","Community Based Outpatient Clinic","Rumford","Rumford VA Clinic","Maine"
"467","Community Based Outpatient Clinic","Saco","Saco VA Clinic","Maine"
"468","VA Medical Center","Baltimore","Baltimore VA Medical Center","Maryland"
"469","VA Medical Center","Baltimore","Loch Raven VA Medical Center","Maryland"
"470","VA Medical Center","Perry Point","Perry Point VA Medical Center","Maryland"
"471","Community Based Outpatient Clinic","Baltimore","Baltimore VA Clinic","Maryland"
"472","Community Based Outpatient Clinic","Cambridge","Cambridge VA Clinic","Maryland"
"473","Community Based Outpatient Clinic","Fort Meade","Fort Meade VA Clinic","Maryland"
"474","Community Based Outpatient Clinic","Glen Burnie","Glen Burnie VA Clinic","Maryland"
"475","Community Based Outpatient Clinic","Pocomoke City","Pocomoke City VA Clinic","Maryland"
"476","Community Based Outpatient Clinic","Rosedale","Eastern Baltimore County VA Clinic","Maryland"
"477","VA Medical Center","Bedford","Edith Nourse Rogers Memorial Veterans Hospital","Massachusetts"
"478","VA Medical Center","Boston","Jamaica Plain VA Medical Center","Massachusetts"
"479","VA Medical Center","Brockton","Brockton VA Medical Center","Massachusetts"
"480","VA Medical Center","Leeds","Edward P. Boland Department of Veterans Affairs Medical Center","Massachusetts"
"481","VA Medical Center","West Roxbury","West Roxbury VA Medical Center","Massachusetts"
"482","Community Based Outpatient Clinic","Boston","Causeway VA Clinic","Massachusetts"
"483","Community Based Outpatient Clinic","Fitchburg","Fitchburg VA Clinic","Massachusetts"
"484","Community Based Outpatient Clinic","Framingham","Framingham VA Clinic","Massachusetts"
"485","Community Based Outpatient Clinic","Gloucester","Gloucester VA Clinic","Massachusetts"
"486","Community Based Outpatient Clinic","Greenfield","Greenfield VA Clinic","Massachusetts"
"487","Community Based Outpatient Clinic","Haverhill","Haverhill VA Clinic","Massachusetts"
"488","Community Based Outpatient Clinic","Hyannis","Hyannis VA Clinic","Massachusetts"
"489","Community Based Outpatient Clinic","Lowell","Lowell VA Clinic","Massachusetts"
"490","Community Based Outpatient Clinic","Lynn","Lynn VA Clinic","Massachusetts"
"491","Community Based Outpatient Clinic","New Bedford","New Bedford VA Clinic","Massachusetts"
"492","Community Based Outpatient Clinic","Pittsfield","Pittsfield VA Clinic","Massachusetts"
"493","Community Based Outpatient Clinic","Plymouth","Plymouth VA Clinic","Massachusetts"
"494","Community Based Outpatient Clinic","Quincy","Quincy VA Clinic","Massachusetts"
"495","Community Based Outpatient Clinic","Springfield","Springfield VA Clinic","Massachusetts"
"496","Community Based Outpatient Clinic","Worcester","Plantation Street VA Clinic","Massachusetts"
"497","Community Based Outpatient Clinic","Worcester","Worcester VA Clinic","Massachusetts"
"498","VA Medical Center","Ann Arbor","Lieutenant Colonel Charles S. Kettles VA Medical Center","Michigan"
"499","VA Medical Center","Battle Creek","Battle Creek VA Medical Center","Michigan"
"500","VA Medical Center","Detroit","John D. Dingell VA Medical Center","Michigan"
"501","VA Medical Center","Iron Mountain","Oscar G. Johnson VA Medical Center","Michigan"
"502","VA Medical Center","Saginaw","Aleda E. Lutz VA Medical Center","Michigan"
"503","Outpatient Clinic","Wyoming","Wyoming VA Clinic","Michigan"
"504","Community Based Outpatient Clinic","Alpena","Lieutenant Colonel Clement C. Van Wagoner Department of Veterans Affairs Clinic","Michigan"
"505","Community Based Outpatient Clinic","Bad Axe","Bad Axe VA Clinic","Michigan"
"506","Community Based Outpatient Clinic","Benton Harbor","Benton Harbor VA Clinic","Michigan"
"507","Community Based Outpatient Clinic","Cadillac","Cadillac VA Clinic","Michigan"
"508","Community Based Outpatient Clinic","Clare","Clare VA Clinic","Michigan"
"509","Community Based Outpatient Clinic","Flint","Flint VA Clinic","Michigan"
"510","Community Based Outpatient Clinic","Gaylord","Gaylord VA Clinic","Michigan"
"511","Community Based Outpatient Clinic","Grayling","Grayling VA Clinic","Michigan"
"512","Community Based Outpatient Clinic","Hancock","Hancock VA Clinic","Michigan"
"513","Community Based Outpatient Clinic","Ironwood","Ironwood VA Clinic","Michigan"
"514","Community Based Outpatient Clinic","Lansing","Lansing South VA Clinic","Michigan"
"515","Community Based Outpatient Clinic","Mackinaw City","Cheboygan County VA Clinic","Michigan"
"516","Community Based Outpatient Clinic","Manistique","Manistique VA Clinic","Michigan"
"517","Community Based Outpatient Clinic","Menominee","Menominee VA Clinic","Michigan"
"518","Community Based Outpatient Clinic","Michigan Center","Jackson VA Clinic","Michigan"
"519","Community Based Outpatient Clinic","Muskegon","Muskegon VA Clinic","Michigan"
"520","Community Based Outpatient Clinic","Oscoda","Oscoda VA Clinic","Michigan"
"521","Community Based Outpatient Clinic","Pontiac","Pontiac VA Clinic","Michigan"
"522","Community Based Outpatient Clinic","Saginaw","Saginaw VA Clinic","Michigan"
"523","Community Based Outpatient Clinic","Sault Saint Marie","Sault Saint Marie VA Clinic","Michigan"
"524","Community Based Outpatient Clinic","Traverse City","Colonel Demas T. Craw VA Clinic","Michigan"
"525","Community Based Outpatient Clinic","Yale","Yale VA Clinic","Michigan"
"526","VA Medical Center","Minneapolis","Minneapolis VA Health Care System","Minnesota"
"527","VA Medical Center","St. Cloud","St. Cloud VA Health Care System","Minnesota"
"528","Community Based Outpatient Clinic","Albert Lea","Albert Lea VA Clinic","Minnesota"
"529","Community Based Outpatient Clinic","Alexandra","Max J. Beilke Department of Veterans Affairs Outpatient Clinic","Minnesota"
"530","Community Based Outpatient Clinic","Bemidji","Bemidji VA Clinic","Minnesota"
"531","Community Based Outpatient Clinic","Brainerd","Brainerd VA Clinic","Minnesota"
"532","Community Based Outpatient Clinic","Ely","Ely VA Clinic","Minnesota"
"533","Community Based Outpatient Clinic","Fergus Falls","Fergus Falls VA Clinic","Minnesota"
"534","Community Based Outpatient Clinic","Hibbing","Hibbing VA Clinic","Minnesota"
"535","Community Based Outpatient Clinic","Mankato","Lyle C. Pearson CBOC","Minnesota"
"536","Community Based Outpatient Clinic","Maplewood","Maplewood VA Clinic","Minnesota"
"537","Community Based Outpatient Clinic","Minneapolis","Minneapolis VA Clinic","Minnesota"
"538","Community Based Outpatient Clinic","Montevideo","Montevideo VA Clinic","Minnesota"
"539","Community Based Outpatient Clinic","Ramsey","Northwest Metro VA Clinic","Minnesota"
"540","Community Based Outpatient Clinic","Rice Lake","Rice Lake VA Clinic","Minnesota"
"541","Community Based Outpatient Clinic","Rochester","Rochester VA Clinic","Minnesota"
"542","Community Based Outpatient Clinic","Shakopee","Shakopee VA Clinic","Minnesota"
"543","Community Based Outpatient Clinic","St. James","St. James VA Clinic","Minnesota"
"544","VA Medical Center","Biloxi","Biloxi VA Medical Center","Mississippi"
"545","VA Medical Center","Jackson","G.V. ""Sonny"" Montgomery VA Medical Center[2]","Mississippi"
"546","Community Based Outpatient Clinic","Columbus","Columbus VA Clinic","Mississippi"
"547","Community Based Outpatient Clinic","Greenville","Greenville VA Clinic","Mississippi"
"548","Community Based Outpatient Clinic","Hattiesburg","Hattiesburg VA Clinic","Mississippi"
"549","Community Based Outpatient Clinic","Holly Springs","Holly Springs VA Clinic","Mississippi"
"550","Community Based Outpatient Clinic","Kosciusko","Kosciusko VA Clinic","Mississippi"
"551","Community Based Outpatient Clinic","McComb","McComb VA Clinic","Mississippi"
"552","Community Based Outpatient Clinic","Meridian","Meridian VA Clinic","Mississippi"
"553","Community Based Outpatient Clinic","Natchez","Natchez VA Clinic","Mississippi"
"554","Community Based Outpatient Clinic","Tupelo","Tupelo VA Clinic","Mississippi"
"555","VA Medical Center","Columbia","Harry S. Truman Memorial Veterans' Hospital","Missouri"
"556","VA Medical Center","Poplar Bluff","John J. Pershing VA Medical Center","Missouri"
"557","VA Medical Center","Kansas City","Kansas City VA Medical Center","Missouri"
"558","VA Medical Center","St. Louis","John J. Cochran Veterans Hospital","Missouri"
"559","VA Medical Center","St. Louis","St. Louis VA Medical Center-Jefferson Barracks","Missouri"
"560","Outpatient Clinic","Springfield","Gene Taylor Veterans' Outpatient Clinic","Missouri"
"561","Community Based Outpatient Clinic","Belton","Belton VA Clinic","Missouri"
"562","Community Based Outpatient Clinic","Branson","Branson VA Clinic","Missouri"
"563","Community Based Outpatient Clinic","Camdenton","Camdenton VA Clinic","Missouri"
"564","Community Based Outpatient Clinic","Cameron","Cameron VA Clinic","Missouri"
"565","Community Based Outpatient Clinic","Cape Girardeau","Cape Girardeau VA Clinic","Missouri"
"566","Community Based Outpatient Clinic","Excelsior Springs","Excelsior Springs VA Clinic","Missouri"
"567","Community Based Outpatient Clinic","Farmington","Farmington VA Clinic","Missouri"
"568","Community Based Outpatient Clinic","Florissant","St. Louis County VA Clinic","Missouri"
"569","Community Based Outpatient Clinic","Jefferson City","Jefferson City VA Clinic","Missouri"
"570","Community Based Outpatient Clinic","Kansas City","Honor VA Clinic","Missouri"
"571","Community Based Outpatient Clinic","Kansas City","Mobile Medical Unit","Missouri"
"572","Community Based Outpatient Clinic","Kirksville","Kirksville VA Clinic","Missouri"
"573","Community Based Outpatient Clinic","Mexico","Mexico VA Clinic","Missouri"
"574","Community Based Outpatient Clinic","Nevada","Nevada VA Clinic","Missouri"
"575","Community Based Outpatient Clinic","O'Fallon","St. Charles County VA Clinic","Missouri"
"576","Community Based Outpatient Clinic","Osage Beach","Lake of the Ozarks VA Clinic","Missouri"
"577","Community Based Outpatient Clinic","Platte City","Platte City VA Clinic","Missouri"
"578","Community Based Outpatient Clinic","Sedalia","Sedalia VA Clinic","Missouri"
"579","Community Based Outpatient Clinic","Sikeston","Sikeston VA Clinic","Missouri"
"580","Community Based Outpatient Clinic","St. James","St. James VA Clinic","Missouri"
"581","Community Based Outpatient Clinic","St. Joseph","St. Joseph VA Clinic","Missouri"
"582","Community Based Outpatient Clinic","St. Louis","Manchester Avenue VA Clinic","Missouri"
"583","Community Based Outpatient Clinic","St. Louis","Olive Street VA Clinic","Missouri"
"584","Community Based Outpatient Clinic","St. Louis","Washington Avenue VA Clinic","Missouri"
"585","Community Based Outpatient Clinic","Warrensburg","Warrensburg VA Clinic","Missouri"
"586","Community Based Outpatient Clinic","Washington","Franklin County VA Clinic","Missouri"
"587","Community Based Outpatient Clinic","Waynesville","Fort Leonard Wood VA Clinic","Missouri"
"588","Community Based Outpatient Clinic","West Plains","West Plains VA Clinic","Missouri"
"589","VA Medical Center","Fort Harrison","Fort Harrison VA Medical Center","Montana"
"590","Outpatient Clinic","Billings","Benjamin Charles Steele VA Clinic","Montana"
"591","Community Based Outpatient Clinic","Anaconda","Anaconda VA Clinic","Montana"
"592","Community Based Outpatient Clinic","Billings","Dr. Joseph Medicine Crow VA Clinic","Montana"
"593","Community Based Outpatient Clinic","Bozeman","Bozeman VA Clinic","Montana"
"594","Community Based Outpatient Clinic","Cut Bank","Cut Bank VA Clinic","Montana"
"595","Community Based Outpatient Clinic","Glasgow","Glasgow VA Clinic","Montana"
"596","Community Based Outpatient Clinic","Glendive","Glendive VA Clinic","Montana"
"597","Community Based Outpatient Clinic","Great Falls","Great Falls VA Clinic","Montana"
"598","Community Based Outpatient Clinic","Hamilton","Hamilton VA Clinic","Montana"
"599","Community Based Outpatient Clinic","Havre","Merril Lundman Department of Veterans Affairs Outpatient Clinic","Montana"
"600","Community Based Outpatient Clinic","Kalispell","Kalispell VA Clinic","Montana"
"601","Community Based Outpatient Clinic","Libby","Libby VA Clinic","Montana"
"602","Community Based Outpatient Clinic","Lewistown","Lewistown VA Clinic","Montana"
"603","Community Based Outpatient Clinic","Miles City","Miles City VA Community Living Center","Montana"
"604","Community Based Outpatient Clinic","Missoula","David J. Thatcher VA Clinic","Montana"
"605","Community Based Outpatient Clinic","Plentywood","Plentywood VA Clinic","Montana"
"606","VA Medical Center","Grand Island","Grand Island VA Medical Center","Nebraska"
"607","VA Medical Center","Omaha","VA Nebraska-Western Iowa Health Care System – Omaha VA Medical Center","Nebraska"
"608","Outpatient Clinic","Lincoln","Lincoln VA Clinic","Nebraska"
"609","Community Based Outpatient Clinic","Bellevue","Bellevue VA Clinic","Nebraska"
"610","Community Based Outpatient Clinic","Gordon","Gordon VA Clinic","Nebraska"
"611","Community Based Outpatient Clinic","Holdrege","Holdrege VA Clinic","Nebraska"
"612","Community Based Outpatient Clinic","Norfolk","Norfolk VA Clinic","Nebraska"
"613","Community Based Outpatient Clinic","North Platte","North Platte VA Clinic","Nebraska"
"614","Community Based Outpatient Clinic","O'Neill","O'Neill, CBOC","Nebraska"
"615","Community Based Outpatient Clinic","Scottsbluff","Scottsbluff VA Clinic","Nebraska"
"616","Community Based Outpatient Clinic","Sidney","Sidney VA Clinic","Nebraska"
"617","VA Medical Center","North Las Vegas","North Las Vegas VA Medical Center","Nevada"
"618","VA Medical Center","Reno","Ioannis A. Lougaris Veterans' Administration Medical Center","Nevada"
"619","VA/DoD Medical Center","Nellis Air Force Base","Mike O'Callaghan Federal Hospital","Nevada"
"620","Outpatient Clinic","Henderson","Southeast Las Vegas VA Clinic","Nevada"
"621","Outpatient Clinic","Las Vegas","Northeast Las Vegas VA Clinic","Nevada"
"622","Outpatient Clinic","Las Vegas","Northwest Las Vegas VA Clinic","Nevada"
"623","Outpatient Clinic","Las Vegas","Southwest Las Vegas VA Clinic","Nevada"
"624","Community Based Outpatient Clinic","Elko","Elko VA Clinic","Nevada"
"625","Community Based Outpatient Clinic","Fallon","Lahontan Valley VA Clinic","Nevada"
"626","Community Based Outpatient Clinic","Gardnerville","Carson Valley VA Clinic","Nevada"
"627","Community Based Outpatient Clinic","Laughlin","Master Chief Petty Officer Jesse Dean VA Clinic","Nevada"
"628","Community Based Outpatient Clinic","Pahrump","Pahrump VA Clinic","Nevada"
"629","Community Based Outpatient Clinic","Reno","Capitol Hill VA Clinic","Nevada"
"630","Community Based Outpatient Clinic","Reno","Kietzke VA Clinic","Nevada"
"631","Community Based Outpatient Clinic","Reno","North Reno VA Clinic","Nevada"
"632","Community Based Outpatient Clinic","Reno","Reno East VA Clinic","Nevada"
"633","Community Based Outpatient Clinic","Reno","Virginia Street VA Clinic","Nevada"
"634","Community Based Outpatient Clinic","Winnemucca","Winnemucca VA Clinic","Nevada"
"635","VA Medical Center","Manchester","Manchester VA Medical Center","New Hampshire"
"636","Community Based Outpatient Clinic","Conway","Conway VA Clinic","New Hampshire"
"637","Community Based Outpatient Clinic","Keene","Keene VA Clinic","New Hampshire"
"638","Community Based Outpatient Clinic","Littleton","Littleton VA Clinic","New Hampshire"
"639","Community Based Outpatient Clinic","Pease Air National Guard Base","Portsmouth VA Clinic","New Hampshire"
"640","Community Based Outpatient Clinic","Somersworth","Somersworth VA Clinic","New Hampshire"
"641","Community Based Outpatient Clinic","Tilton","Tilton VA Clinic","New Hampshire"
"642","VA Medical Center","East Orange","East Orange VA Medical Center","New Jersey"
"643","VA Medical Center","Lyons","Lyons VA Medical Center","New Jersey"
"644","Outpatient Clinic","Brick","James J. Howard Veterans' Outpatient Clinic","New Jersey"
"645","Community Based Outpatient Clinic","Camden","Camden VA Clinic","New Jersey"
"646","Community Based Outpatient Clinic","Cape May","Cape May County VA Clinic","New Jersey"
"647","Community Based Outpatient Clinic","Elizabeth","Elizabeth VA Clinic","New Jersey"
"648","Community Based Outpatient Clinic","Hackensack","Hackensack VA Clinic","New Jersey"
"649","Community Based Outpatient Clinic","Hamilton","Hamilton VA Clinic","New Jersey"
"650","Community Based Outpatient Clinic","Jersey City","Jersey City VA Clinic","New Jersey"
"651","Community Based Outpatient Clinic","Morristown","Morristown VA Clinic","New Jersey"
"652","Community Based Outpatient Clinic","Marlton","Burlington County VA Clinic","New Jersey"
"653","Community Based Outpatient Clinic","Morristown","Morristown VA Clinic","New Jersey"
"654","Community Based Outpatient Clinic","Northfield","Atlantic County VA Clinic","New Jersey"
"655","Community Based Outpatient Clinic","Paterson","Paterson VA Clinic","New Jersey"
"656","Community Based Outpatient Clinic","Piscataway","Piscataway VA Clinic","New Jersey"
"657","Community Based Outpatient Clinic","Sewell","Gloucester County VA Clinic","New Jersey"
"658","Community Based Outpatient Clinic","Tinton Falls","Tinton Falls VA Clinic","New Jersey"
"659","Community Based Outpatient Clinic","Vineland","Cumberland County VA Clinic","New Jersey"
"660","VA Medical Center","Albuquerque","New Mexico VA Health Care System – Raymond G. Murphy VA Medical Center","New Mexico"
"661","Community Based Outpatient Clinic","Alamogordo","Alamogordo VA Clinic","New Mexico"
"662","Community Based Outpatient Clinic","Artesia","Artesia VA Clinic","New Mexico"
"663","Community Based Outpatient Clinic","Clovis","Clovis VA Clinic","New Mexico"
"664","Community Based Outpatient Clinic","Española","Española VA Clinic","New Mexico"
"665","Community Based Outpatient Clinic","Farmington","Farmington VA Clinic","New Mexico"
"666","Community Based Outpatient Clinic","Gallup","Gallup VA Clinic","New Mexico"
"667","Community Based Outpatient Clinic","Hobbs","Hobbs VA Clinic","New Mexico"
"668","Community Based Outpatient Clinic","Las Cruces","Las Cruces VA Clinic","New Mexico"
"669","Community Based Outpatient Clinic","Las Vegas","Las Vegas VA Clinic","New Mexico"
"670","Community Based Outpatient Clinic","Raton","Raton VA Clinic","New Mexico"
"671","Community Based Outpatient Clinic","Rio Rancho","Northwest Metro VA Clinic","New Mexico"
"672","Community Based Outpatient Clinic","Santa Fe","Santa Fe VA Clinic","New Mexico"
"673","Community Based Outpatient Clinic","Silver City","Silver City VA Clinic","New Mexico"
"674","Community Based Outpatient Clinic","Taos","Taos VA Clinic","New Mexico"
"675","Community Based Outpatient Clinic","Truth or Consequences","Truth or Consequences VA Clinic","New Mexico"
"676","VA Medical Center","Albany","Samuel S. Stratton Albany VA Medical Center","New York"
